Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
D. Gebhard,"FB,W",,Forward Madison,Forward Madison,26.0,United States,United States,right,133750.0,6.84,6.988531496692783,0.1485314966927831,138000,,165000,,2021-02-11,2022-11-30,2021-12-10,Topnotch Management,Derek Gebhard,United States,26,Forward Madison FC,attack - Centre-Forward,https://www.transfermarkt.us/derek-gebhard/profil/spieler/401304
R. Ortiz,"AM,W",2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,24.0,Mexico,"Mexico, United States",,107000.0,6.77,6.8814291380302,0.11142913803020082,110000,,110000,,2021-06-03,2022-11-30,2021-12-15,YMU Group,Rey Ortiz,United States-Mexico,24 (25),Chattanooga Red Wolves SC,midfield - Attacking Midfield,https://www.transfermarkt.us/rey-ortiz/profil/spieler/404319
P. Rothrock,"AM,W,CF",,Toronto II,Toronto II,22.0,United States,United States,,107000.0,6.86,6.771278093391819,-0.08872190660818102,110000,,110000,,2021-05-18,2022-11-30,,,Paul Rothrock,United States,22 (23),Toronto FC II,attack - Centre-Forward,https://www.transfermarkt.us/paul-rothrock/profil/spieler/503092
D. Smart,"W,CF",,Greenville Triumph,Greenville Triumph,34.0,Jamaica,Jamaica,,107000.0,6.86,6.822684750375864,-0.037315249624136015,110000,,220000,,2020-12-14,2022-11-30,2021-12-15,ProConnect Soccer,Don Smart,Jamaica,33 (34),Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/don-smart/profil/spieler/190919
M. Hamilton,"FB,W",,,North Carolina FC,22.0,Canada,"Canada, Jamaica",,107000.0,6.29,6.674053598688728,0.3840535986887277,,,,,,,,,,,,,,
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,6.87,6.84498283039526,-0.025017169604740097,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica-United States,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,6.87,6.84498283039526,-0.025017169604740097,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,6.87,6.84498283039526,-0.025017169604740097,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,6.87,6.84498283039526,-0.025017169604740097,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
J. Penn,"AM,W",,Inter Miami,Fort Lauderdale,21.0,United States,United States,left,107000.0,6.56,6.742410904572206,0.18241090457220643,138000,,138000,,2022-03-08,2022-11-30,,,Josh Penn,United States,20 (21),Fort Lauderdale CF,attack - Left Winger,https://www.transfermarkt.us/josh-penn/profil/spieler/615158
