Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
W. Mejia,CB,,Greenville Triumph,Greenville Triumph,24.0,United States,United States,unknown,0.0,63659.96861359302,63659.96861359302,,,,,,,,,,,,,,
D. Hardin,"CB,CM",,Fort Lauderdale,Fort Lauderdale,17.0,United States,United States,unknown,0.0,1054023.9457924815,1054023.9457924815,83000,,83000,,2022-02-24,2022-11-30,,,Drew Hardin,United States,17,Fort Lauderdale CF,midfield - Central Midfield,https://www.transfermarkt.us/drew-hardin/profil/spieler/882090
J. Parra,CB,,North Texas,North Texas,20.0,Colombia,Colombia,right,0.0,86536.47114415468,86536.47114415468,,,,,,,,,,,,,,
R. van Hees,CB,,North Texas,North Texas,19.0,,,,0.0,67071.2669007564,67071.2669007564,,,,,,,,,,,,,,
C. McCamy,"FB,CB,CM",,Northwestern Wildcats,North Carolina FC,18.0,United States,United States,,0.0,378837.449900336,378837.449900336,,,,,,,,,,,,,,
F. Dulysse,CB,,New England II,New England II,22.0,Haiti,Haiti,,0.0,173700.2512683435,173700.2512683435,83000,,83000,,2022-02-12,2022-11-30,,,François Dulysse,Haiti,23,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/francois-dulysse/profil/spieler/628837
F. Dulysse,CB,,New England II,New England II,22.0,Haiti,Haiti,,0.0,173700.2512683435,173700.2512683435,83000,,83000,,2022-02-12,2022-11-30,,,François Dulysse,Haiti,23,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/francois-dulysse/profil/spieler/628837
F. Dulysse,CB,,New England II,New England II,22.0,Haiti,Haiti,,0.0,173700.2512683435,173700.2512683435,83000,,83000,,2022-02-12,2022-11-30,,,François Dulysse,Haiti,23,New England Revolution II,Defender - Centre-Back,https://www.transfermarkt.us/francois-dulysse/profil/spieler/628837
M. Maldonado,"FB,CB,CM",,North Texas,North Texas,23.0,United States,United States,,0.0,946287.3935329285,946287.3935329285,,,,,,,,,,,,,,
S. O'Hearn,"FB,CB",,New England II,New England II,23.0,United States,United States,,0.0,1119940.9681397723,1119940.9681397723,,,,,,,,,,,,,,
C. Rad,"FB,CB",,Forward Madison,Forward Madison,,United States,United States,,0.0,990939.2554015652,990939.2554015652,,,,,,,,,,,,,,
R. Ramirez,CB,,North Texas,North Texas,23.0,United States,United States,unknown,0.0,93785.68802383429,93785.68802383429,,,,,,,,,,,,,,
Lucas Teodoro,CB,,North Texas,North Texas,,Brazil,Brazil,,0.0,992486.4473249193,992486.4473249193,,,,,,,,,,,,,,
D. Benton,"FB,CB",,North Texas,North Texas,21.0,United States,United States,,0.0,235111.63670014814,235111.63670014814,,,,,,,,,,,,,,
Ivan Magalhães,CB,,Richmond Kickers,Richmond Kickers,27.0,Brazil,Brazil,left,0.0,990153.7531222807,990153.7531222807,,,,,,,,,,,,,,
J. Ramos,"CB,CM",,Chattanooga Red Wolves,Chattanooga Red Wolves,23.0,United States,United States,,0.0,961315.1552700603,961315.1552700603,,,,,,,,,,,,,,
C. Murillo,"FB,CB",,Greenville Triumph,Greenville Triumph,25.0,United States,United States,,0.0,159003.8183674647,159003.8183674647,,,,,,,,,,,,,,
G. Fernandes,CB,,North Carolina FC,Forward Madison,24.0,United States,"United States, Brazil",,0.0,172987.28643117915,172987.28643117915,,,,,,,,,,,,,,
B. Rosales,"FB,CB",,,Fort Lauderdale,27.0,Cuba,Cuba,right,0.0,286615.7707754604,286615.7707754604,,,,,,,,,,,,,,
