"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Ricky Ruiz","CHA","2021","W","2727","980","66.7%","67.9%","-11.30","-1.15","22.33","5.64","8.0%","28"
"","Rafael Mentzingen","CHA","2021","ST","784","159","61.0%","68.2%","-11.36","-7.15","16.74","-0.84","3.6%","15"
"","Nelson Blanco","NC","2021","FB","2482","1428","78.8%","79.6%","-11.66","-0.82","21.13","3.14","10.5%","27"
"","Justin Rennicks","NER","2021","ST","2290","573","74.4%","76.4%","-12.00","-2.09","16.40","-2.04","5.3%","27"
"","Hope Avayevu","NTX","2021","W","471","181","63.0%","69.7%","-12.08","-6.67","20.15","4.11","2.5%","18"
"","Tobenna Uzo","TUC","2021","ST","817","187","64.2%","70.7%","-12.19","-6.52","13.76","-1.42","5.1%","11"
"","Michael Tsicoulias","NER","2021","W","337","102","60.8%","73.2%","-12.68","-12.43","18.72","1.40","2.0%","12"
"","Joshua Donnelly","GVL","2021","ST","747","168","53.0%","60.6%","-12.81","-7.62","16.42","1.55","3.1%","17"
"","Marios Lomis","GVL","2021","ST","2084","441","67.1%","70.0%","-12.87","-2.92","15.90","-0.31","5.1%","26"
"","Conor Doyle","OMA","2021","W","2554","957","71.1%","72.5%","-13.96","-1.46","20.43","5.98","7.5%","28"
"","Nil Vinyals","RIC","2021","CM","2183","812","70.0%","71.7%","-14.14","-1.74","20.83","4.11","8.3%","26"
