"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Nakye Greenidge-Duncan","TOR","2021","ST","8","0.01","-0.00","0.00","0.00","-0.01","-0.01","-0.01"
"","Curtis De Leon","NC","2021","CB","7","-0.00","0.00","-0.00","-0.00","-0.00","-0.00","-0.01"
"","Maciel","NER","2021","DM","340","0.03","0.01","-0.13","0.14","-0.01","-0.05","-0.01"
"","Gerard Lavergne","TUC","2021","DM","18","0.01","0.00","-0.01","-0.01","-0.00","-0.00","-0.01"
"","Alex Monis","MAD","2021","W","26","-0.02","-0.00","0.02","-0.01","-0.01","0.01","-0.01"
"","Rickson van Hees","NTX","2021","ST","10","0.00","-0.00","-0.00","0.02","-0.02","-0.01","-0.01"
"","Rohit Thakur","NC","2021","W","18","0.00","-0.00","-0.02","-0.01","-0.00","0.02","-0.02"
"","Francois Dulysse","NER","2021","CB","679","-0.17","-0.21","0.14","0.15","0.09","-0.02","-0.02"
"","Morris Matthews","NER","2021","CM","18","-0.01","-0.00","0.01","-0.00","-0.01","-0.01","-0.02"
"","Juan Pablo Monticelli","RIC","2021","FB","1493","-0.30","-0.21","-0.19","-0.05","0.57","0.16","-0.02"
"","Alec Marshall","CHA","2021","ST","7","0.00","-0.00","-0.00","0.00","-0.01","-0.00","-0.02"
"","Max Flick","NC","2021","CB","2426","0.11","-0.14","0.50","-0.40","-0.08","-0.01","-0.02"
"","David Texeira","CHA","2021","ST","179","-0.10","-0.01","-0.02","-0.05","0.18","-0.02","-0.02"
"","Grant Hampton","TRM","2021","DM","11","0.01","0.01","-0.01","-0.03","0.00","-0.00","-0.02"
"","Cole Dewhurst","NER","2021","ST","12","0.00","-0.00","-0.00","0.00","-0.02","-0.01","-0.03"
"","Ty Johnson","RIC","2021","ST","18","-0.01","0.01","-0.01","0.01","-0.02","-0.01","-0.03"
"","Jordan Perruzza","TOR","2021","ST","113","0.04","0.06","0.04","-0.05","-0.10","-0.03","-0.04"
"","Mumbi Kwesele","RIC","2021","CB","49","-0.01","0.00","-0.03","0.02","-0.02","-0.01","-0.04"
"","Craig McCall","TRM","2021","CM","120","-0.05","-0.01","0.02","0.07","-0.04","-0.04","-0.04"
"","Caiser Gomes","NTX","2021","CB","1837","-0.12","0.25","-0.42","0.20","0.17","-0.12","-0.05"
"","Zacarías Morán Correa","RIC","2021","DM","2438","0.10","-0.13","-0.02","0.91","-0.63","-0.28","-0.05"
"","Cyrus Rad","MAD","2021","CB","1169","0.24","0.08","-0.32","0.28","-0.22","-0.12","-0.06"
"","Damian Gallegos","RIC","2021","ST","17","0.01","-0.00","0.00","-0.03","-0.03","-0.01","-0.06"
"","Evan Lee","GVL","2021","CB","1959","0.10","0.20","-0.40","0.14","-0.08","-0.03","-0.06"
"","Ralph Priso-Mbongue","TOR","2021","CM","296","0.06","-0.05","0.02","0.02","-0.06","-0.04","-0.06"
"","Noah Pilato","GVL","2021","CM","324","0.13","-0.02","0.07","-0.13","-0.05","-0.06","-0.07"
"","Rodney Michael","TRM","2021","W","990","0.13","-0.10","-0.08","-0.24","0.15","0.08","-0.07"
"","Denso Ulysse","RIC","2021","FB","52","-0.03","0.00","0.07","-0.09","-0.01","-0.01","-0.07"
"","Devin Benton","NTX","2021","CB","257","-0.02","-0.04","0.15","0.10","-0.19","-0.10","-0.09"
"","Dante Campbell","TOR","2021","CM","1108","-0.06","0.21","0.11","0.15","-0.28","-0.23","-0.09"
"","William Mejia","GVL","2021","W","44","-0.02","-0.00","-0.03","0.00","-0.03","-0.02","-0.09"
"","Yoskar Galvan","OMA","2021","W","46","-0.02","0.00","-0.00","-0.01","-0.04","-0.03","-0.09"
"","Brandon Sanchez","TUC","2021","CM","79","-0.01","-0.00","0.02","-0.06","-0.02","-0.02","-0.09"
"","Michael Vang","MAD","2021","CM","385","-0.23","-0.02","0.03","0.05","0.03","0.04","-0.10"
"","Joseph Buck","NER","2021","CM","101","-0.00","-0.00","0.01","-0.03","-0.04","-0.03","-0.10"
"","Collin McCamy","NC","2021","FB","72","-0.00","0.02","-0.04","-0.03","-0.03","-0.02","-0.10"
