Player,Team,Season,Position,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,PA,xPA,Passes,Pass %,xPass %,Score,Per100,Distance,Vertical,Touch %,Games,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Cristian Zaragoza,CHA,2021,W,16,1,0,0,0.14,-0.14,-0.14,0,0,0.0,0.0,0.14,0.0,0.0,3,66.7%,64.5%,0.07,2.18,18.64,-17.77,0.4%,2,-0.02,-0.0,-0.01,-0.01,0.02,0.03,0.02
Curtis De Leon,NC,2021,CB,7,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0%,18.6%,-0.19,-18.6,0.0,0.0,0.4%,1,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.01
Curtis Thorn,TRM,2021,CB,2589,9,3,1,0.59,-0.01,0.41,12,2,1.25,0.75,1.84,0.27,0.4,1504,83.7%,81.2%,37.12,2.47,20.36,3.63,11.2%,27,-0.25,-0.08,-0.36,-0.63,-0.01,-0.06,-1.4
Cyrus Rad,MAD,2021,CB,1169,1,0,0,0.07,-0.07,-0.07,5,1,0.5,0.5,0.57,0.0,0.04,727,73.9%,74.2%,-2.4,-0.33,22.91,11.42,11.4%,12,0.24,0.08,-0.32,0.28,-0.22,-0.12,-0.06
Dairon Reyes,FTL,2021,W,231,5,0,0,0.13,-0.13,-0.13,4,1,0.24,0.76,0.37,0.0,0.09,90,81.1%,79.5%,1.43,1.59,20.0,2.34,2.2%,11,-0.05,-0.03,0.03,0.02,-0.11,-0.09,-0.23
Dakota Barnathan,TUC,2021,CB,1702,4,0,0,1.28,-1.28,-1.28,3,0,0.15,-0.15,1.43,0.0,0.41,808,78.7%,80.5%,-14.66,-1.81,25.14,12.41,7.2%,23,-0.24,0.08,-0.03,-0.2,-0.22,-0.04,-0.66
Dallas Jaye,GVL,2021,GK,1778,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,601,72.4%,70.2%,13.24,2.2,36.77,28.37,6.7%,18,,,,,,,
Daltyn Knutson,OMA,2021,CB,1953,10,4,1,2.04,-0.54,-1.04,5,1,0.38,0.62,2.43,1.31,2.15,868,84.9%,82.6%,20.31,2.34,24.23,9.85,8.5%,21,0.01,0.11,0.38,-0.2,0.03,0.13,0.46
Damia Viader I Masdeu,OMA,2021,FB,2637,34,17,6,2.98,0.49,3.02,58,5,5.4,-0.4,8.37,1.49,1.54,1574,70.8%,71.1%,-5.01,-0.32,21.68,5.67,12.8%,28,0.64,0.08,0.6,-0.09,-0.25,0.31,1.29
Damian Gallegos,RIC,2021,ST,17,0,0,0,0.0,0.0,0.0,1,0,0.01,-0.01,0.01,0.0,0.0,5,40.0%,80.8%,-2.04,-40.78,25.3,8.34,1.1%,1,0.01,-0.0,0.0,-0.03,-0.03,-0.01,-0.06
Damian Las,NC,2021,GK,200,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,79,81.0%,85.0%,-3.16,-4.0,29.77,18.3,7.8%,2,,,,,,,
Damian Rivera,NER,2021,W,2238,67,22,6,7.91,-2.67,-1.91,28,1,2.82,-1.82,10.74,2.55,5.11,668,76.0%,75.9%,1.17,0.18,18.63,1.98,7.0%,25,2.85,0.16,-0.07,0.36,0.07,0.48,3.84
Daniel Bedoya,TUC,2021,CM,1538,20,5,3,1.72,0.7,1.28,33,3,2.23,0.77,3.94,2.0,1.35,873,80.1%,80.7%,-5.18,-0.59,23.16,4.94,7.0%,26,-0.03,0.12,-0.17,0.38,-0.44,0.02,-0.13
Daniel Steedman,NC,2021,CM,506,8,0,0,0.4,-0.4,-0.4,3,0,0.19,-0.19,0.6,0.0,0.24,228,77.2%,81.7%,-10.23,-4.49,20.32,3.77,6.8%,8,-0.01,0.04,0.28,-0.08,0.05,-0.07,0.21
Dante Campbell,TOR,2021,CM,1108,6,1,0,0.45,-0.1,-0.45,5,0,0.19,-0.19,0.64,0.0,0.28,450,80.7%,81.3%,-2.78,-0.62,20.97,5.17,5.0%,20,-0.06,0.21,0.11,0.15,-0.28,-0.23,-0.09
David Texeira,CHA,2021,ST,179,3,2,0,0.5,0.26,-0.5,0,0,0.0,0.0,0.5,0.0,0.36,34,67.7%,73.7%,-2.06,-6.06,13.67,-3.5,2.9%,3,-0.1,-0.01,-0.02,-0.05,0.18,-0.02,-0.02
Dennis Ramirez,NER,2021,CM,114,1,1,0,0.02,0.02,-0.02,0,0,0.0,0.0,0.02,0.0,0.0,71,88.7%,89.3%,-0.42,-0.6,19.66,1.57,1.7%,8,-0.07,-0.05,0.06,-0.04,-0.05,-0.01,-0.16
Denso Ulysse,RIC,2021,FB,52,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,16,43.8%,58.6%,-2.37,-14.8,13.95,5.37,3.0%,2,-0.03,0.0,0.07,-0.09,-0.01,-0.01,-0.07
Derek Gebhard,MAD,2021,W,2434,44,14,5,5.51,-0.47,-0.51,22,1,1.73,-0.73,7.24,3.76,4.46,860,78.6%,77.8%,6.46,0.75,16.68,0.19,7.6%,27,1.06,0.31,0.02,-1.4,0.6,0.65,1.22
Derek Waldeck,NTX,2021,FB,2245,12,1,0,1.2,-1.05,-1.2,26,4,2.68,1.32,3.89,0.0,0.95,1469,76.9%,76.0%,13.2,0.9,22.21,5.91,10.5%,27,-0.15,0.12,-0.07,0.58,-0.04,-0.03,0.41
Deri Corfe,TUC,2021,W,1922,69,31,7,5.73,0.81,1.27,19,2,2.09,-0.09,7.82,3.49,3.37,632,81.3%,78.3%,19.37,3.07,16.19,-0.3,6.5%,26,1.27,-0.0,-0.34,-0.51,0.34,0.81,1.57
